,ChronosBolt_domainDatasetL2_128_16_base,ChronosBolt_domainDatasetL2_128_16_incremental,ChronosBolt_domainDatasetL2_128_16_raef,ChronosBolt_domainDatasetL2_128_16_raf,ChronosT5_domainDatasetL2_128_16_base,ChronosT5_domainDatasetL2_128_16_incremental,ChronosT5_domainDatasetL2_128_16_raef,ChronosT5_domainDatasetL2_128_16_raf,MoiraiMoE_domainDatasetL2_128_16_base,MoiraiMoE_domainDatasetL2_128_16_fineTuning,MoiraiMoE_domainDatasetL2_128_16_incremental,MoiraiMoE_domainDatasetL2_128_16_raef,MoiraiMoE_domainDatasetL2_128_16_raf
ET,0.7638208937637863,0.778875921973066,0.7722793336401225,0.8068845690265267,0.7875273397773878,0.8204963425032378,0.7471660589849738,0.7923080618396715,0.8804868746937616,0.8667191753640198,0.8479788077311549,0.8055021705137048,0.8717235244489421
covid19Deaths,1.2518834452409124,1.9462290045187973,2.20068797873229,1.552780783188768,1.1072596442920088,2.800742069174349,3.82735939742787,0.8181978385265605,0.67049154177976,0.6503659226398762,0.6420182150964387,0.6408053414007091,0.6674420764203698
electricityUCI,1.0092951089651212,1.4056565725613788,1.5671101114449508,1.53379517397409,1.0381274924331094,2.087421888225569,1.7648020301199336,1.5469908768321141,2.4967619197369424,2.414424584895846,2.466641007567753,1.9091197394670416,2.5615525903858023
fredMd,0.8543763783441889,0.8905845645904831,0.6931913715334719,0.8249661990411492,0.8480465714411941,0.8659181913256953,0.46837219641184485,0.7474381073853796,0.9074762827086416,0.8771238842106516,0.8692607705005163,0.7728345247924977,0.8875531529622129
huaweiCloud,1.2573903399425141,1.1642146909430804,0.9358836633722063,1.1388842067273508,0.9386841131214172,0.8357688983362901,0.6384054579474395,0.8698993384678552,1.0082858348630148,0.9357006937593958,0.8993957901658436,0.8331384183398306,0.9802036248278415
nn5,0.8172935636609137,0.8284809322303098,0.8323400909190376,0.8582638084578122,0.8282588948023193,0.8347267594493356,0.7955203375994601,0.8421497662070119,0.8222508283496055,0.8222129013659413,0.8401782554453258,0.8538335991326977,0.8267412064570978
power,0.8155611128671034,0.8311585622585426,0.8539797503452999,0.830697031847269,0.8174170950085465,0.9332415535725959,0.7786505520044228,0.7992885465839814,0.9236316750592163,0.9212063706301117,0.8888390152892742,0.9033689573928939,0.9071583499972545
traffic,0.15917166673126448,0.16269184419107752,0.1724289805375471,0.16053435081987397,0.18742474501315654,0.17306699852905547,0.1766954808266815,0.1880907757421983,0.15060823076143534,0.15086847131999984,0.14859190379005605,0.151435309208442,0.15034629613135544
