,base,raf,raef
inputSpace,16.34345475619193 +- 0.1202322911439705 ms,18.2863719468005 +- 0.21991189705279285 ms,17.92933662130963 +- 0.10800877072037414 ms
embeddingSpace,16.313259568298236 +- 0.0794125518220967 ms,23.06221336813178 +- 0.21951219088141996 ms,22.58138874382712 +- 0.13597157038310095 ms
