,base,raf,raef
inputSpace,36.11159609281458 +- 58.91990433442037 ms,19.18425050098449 +- 3.7963282852111617 ms,18.09882207890041 +- 1.3365183003857881 ms
embeddingSpace,16.70463160262443 +- 0.5626604602306078 ms,21.44791819737293 +- 3.750266053477275 ms,19.222175900358707 +- 0.39139634488077163 ms
