,base,raf,raef
inputSpace,16.417694130097516 +- 0.14761345100701162 ms,18.128280643257312 +- 0.42017814273568344 ms,17.455665724817663 +- 0.12144246261720645 ms
embeddingSpace,16.385512617765926 +- 0.08404821134792766 ms,20.575715751037933 +- 0.19178578678377892 ms,19.890475205495022 +- 0.07626563803665798 ms
