,MoiraiMoE_domainDatasetCosine_128_16_base,MoiraiMoE_domainDatasetCosine_128_16_fineTuning,MoiraiMoE_domainDatasetCosine_128_16_incremental,MoiraiMoE_domainDatasetCosine_128_16_raef,MoiraiMoE_domainDatasetCosine_128_16_raf,MoiraiMoE_domainDatasetEmbL2_128_16_base,MoiraiMoE_domainDatasetEmbL2_128_16_fineTuning,MoiraiMoE_domainDatasetEmbL2_128_16_incremental,MoiraiMoE_domainDatasetEmbL2_128_16_raef,MoiraiMoE_domainDatasetEmbL2_128_16_raf,MoiraiMoE_domainDatasetL2_128_16_base,MoiraiMoE_domainDatasetL2_128_16_fineTuning,MoiraiMoE_domainDatasetL2_128_16_incremental,MoiraiMoE_domainDatasetL2_128_16_raef,MoiraiMoE_domainDatasetL2_128_16_raf
ET,0.8798824596717141,0.8670436754758575,0.9059347691215899,0.9018974651965511,0.8704870889188508,0.8802760285774595,0.8667633092286727,0.9045776421342463,0.9027510088923598,0.8719086711522572,0.8803408549383772,0.8672021543825722,0.8485220352921071,0.8047472746909496,0.8726373992461397
covid19Deaths,0.6573046585742935,0.6579910736603516,0.7858538909895756,1.1384802064527222,0.6562867824675259,0.663034067944153,0.6516558229888288,0.7763085671352575,1.1263626207302302,0.6551178699576625,0.6621521158703604,0.6658460380793018,0.6502227898607212,0.6419411457850568,0.6677762008967121
electricityUCI,2.4901771591876583,2.4181406299388812,2.6803575992213635,2.7187332642397117,2.5572659616782527,2.4929943917754365,2.4132102661321606,2.6633898794881947,2.7608190354405977,2.555731110010026,2.4928600241099206,2.414810884977072,2.477180116459235,1.9158386803755987,2.5519887477383163
fredMd,0.9102905846314651,0.8817847860063673,0.9101728247724815,0.9168359759090668,0.9144125303830885,0.9064365642020513,0.8808555278853418,0.9206754895905226,0.9268078889751525,0.9131930982646858,0.9065582615698291,0.8857093807283715,0.8744359307988083,0.7739858981037949,0.8950215772566451
huaweiCloud,1.010370975462642,0.9352009037218755,0.9575295239266177,0.9765201231667452,0.985168934395631,1.0061815674841914,0.9339111682251394,0.9612003024532929,0.9920167505356189,0.9864916197119609,1.0111282019141332,0.9349104831422602,0.9029100177953147,0.8338856893374573,0.9774245377836153
nn5,0.8225243811284586,0.82262003473186,0.8514069970134791,0.8679709974017349,0.8258946581773638,0.8225019206639083,0.8215819944890969,0.8516080241106401,0.8681868285214777,0.8253987827194246,0.8228562035783853,0.8228870532429925,0.8396983747570281,0.8548866234972761,0.826865521489237
power,0.9234323705412265,0.9210548374799626,1.0583734817709165,1.074631016156305,0.8975678411629248,0.924149386211244,0.920138057474792,1.0529679002635848,1.0730396542162475,0.8974313151343416,0.9242406934385569,0.9212533673078842,0.8892208394243175,0.9038194725624222,0.9067322115149251
traffic,0.15050564447825476,0.1509564772710892,0.14810787178636273,0.14695255296573914,0.1504833931326231,0.15056473186565203,0.1509033309290698,0.14800574040567427,0.1468558246781965,0.1504267330693802,0.1504239424078842,0.15091022379216315,0.1484914135032178,0.15147967388155104,0.15044354673484608
