,MoiraiMoE_domainDatasetCosine_64_16_base,MoiraiMoE_domainDatasetCosine_64_16_fineTuning,MoiraiMoE_domainDatasetCosine_64_16_incremental,MoiraiMoE_domainDatasetCosine_64_16_raef,MoiraiMoE_domainDatasetCosine_64_16_raf,MoiraiMoE_domainDatasetEmbL2_64_16_base,MoiraiMoE_domainDatasetEmbL2_64_16_fineTuning,MoiraiMoE_domainDatasetEmbL2_64_16_incremental,MoiraiMoE_domainDatasetEmbL2_64_16_raef,MoiraiMoE_domainDatasetEmbL2_64_16_raf,MoiraiMoE_domainDatasetL2_64_16_base,MoiraiMoE_domainDatasetL2_64_16_fineTuning,MoiraiMoE_domainDatasetL2_64_16_incremental,MoiraiMoE_domainDatasetL2_64_16_raef,MoiraiMoE_domainDatasetL2_64_16_raf
ET,0.9369916092852605,0.9069705667773933,0.9828778151956805,0.9576565881940878,0.9514640686602466,0.93717114339308,0.9069515344050922,0.9810226974861703,0.9566699105692984,0.9503395219327911,0.936977882698207,0.9075434005426594,0.8889462262025121,0.854499031492583,0.9422817544505117
covid19Deaths,0.7036552727318112,0.702090482330619,0.8170548914680802,0.9251076320825208,0.680232289390602,0.6977481308699217,0.7014888081781397,0.8287325760309502,0.9352365562235594,0.6776453654512454,0.703424720881188,0.7044786039239457,0.7360202369406735,0.7166904779901946,0.6794371049349991
electricityUCI,2.6483474254175396,2.3845897072464335,2.5840957840858274,2.5249419028091387,2.523558685642585,2.6401224737398197,2.3873833279577497,2.591853490902631,2.5171766158529003,2.512358886256146,2.6530485593727198,2.3891295375572406,2.3873162083345685,2.0435038610663554,2.535088793004931
fredMd,0.7448296156479405,0.6981645861595333,0.755021628914652,0.7642264467127072,0.736462175667496,0.7447957523752753,0.7067691132429088,0.7477417917184607,0.7699635625315109,0.7340371057196822,0.7456267712474218,0.7121761255971142,0.7180310419474152,0.616767410318325,0.7186893766492125
huaweiCloud,1.0000022121978895,1.0301662498425546,0.9904433620346593,1.0026210689773092,0.9905133683000317,0.9976608426906889,1.0283881283576193,0.9942546876083117,1.0149660364928133,0.989823317914869,1.0005834650307324,1.0285996627436513,0.9239143057479814,0.861362322107458,0.9775062516585127
nn5,0.8387572656047508,0.8387902903086293,0.8554875735128917,0.8787676675370236,0.8557003852639997,0.8392873773747751,0.839110088322448,0.8562659862979337,0.880325010995328,0.855219991889625,0.8397240629091566,0.8395160861032651,0.8479364983827665,0.853668750229605,0.8550198010953287
power,0.9694638741010575,0.9670627451607577,1.2235962493399497,1.227026481168677,0.9944553189255594,0.9697099368920286,0.9663582104497968,1.2194443723723467,1.219463350589811,0.995137490992723,0.9687750555700532,0.9671658371586698,0.9531313914074934,0.9728324482372657,0.9945024758281428
traffic,0.1516719341600972,0.15237091837584604,0.1473352879506831,0.14538410871943647,0.14948785327779954,0.1515938666574609,0.15240426368508703,0.14722940108147894,0.14540252450349656,0.14959009222061934,0.15161538129205998,0.15235047313367037,0.14766587534879053,0.15505609637318168,0.14811255694544276
