,ChronosBolt_domainDatasetL2_32_32_base,ChronosBolt_domainDatasetL2_32_32_incremental,ChronosBolt_domainDatasetL2_32_32_raef,ChronosBolt_domainDatasetL2_32_32_raf,ChronosT5_domainDatasetL2_32_32_base,ChronosT5_domainDatasetL2_32_32_incremental,ChronosT5_domainDatasetL2_32_32_raef,ChronosT5_domainDatasetL2_32_32_raf,MoiraiMoE_domainDatasetL2_32_32_base,MoiraiMoE_domainDatasetL2_32_32_fineTuning,MoiraiMoE_domainDatasetL2_32_32_incremental,MoiraiMoE_domainDatasetL2_32_32_raef,MoiraiMoE_domainDatasetL2_32_32_raf
ET,1.147974228100312,1.1731511721043069,1.2082808049986928,1.3131085139327834,1.200044407748211,1.1919681465287393,1.1460743822875286,1.3024171066877213,1.2569982771591306,1.2295827196618316,1.170875152158771,1.1172026747460384,1.2377091327393122
covid19Deaths,3.456451426641853,3.4934753111097177,6.322942370140904,2.1160787465318744,3.3174794089746498,3.157658209824096,3.8051820775293432,2.783883470373042,2.4444233795757433,2.4579894740924835,2.06532258707027,1.9789391763634623,2.1260065813171924
electricityUCI,5.010381345226415,4.5841537378144395,4.31795622115786,5.138066957543572,4.429712353114382,4.281216432375029,4.067456411392283,4.713739720498135,4.829405541022667,4.292714500903387,4.324951187010643,3.747603126851296,4.509779078736223
fredMd,1.319378635324449,1.3735757597618703,1.2098981503505688,1.174805883609009,1.498656498623425,1.234916179188804,0.5967095581112009,1.179331143382249,1.3341947333074902,1.3108591197143116,1.3014553058971008,1.0885303008958265,1.2734070230579757
huaweiCloud,1.865862669725237,1.8025498624576386,1.9340534843364066,1.8602559415844764,1.6594752388519192,1.5759672561353437,1.324428104927236,1.5752541422839441,1.811872078484514,1.6753875696992042,1.6298958584608594,1.404095581657477,1.6669831470944232
nn5,1.1397683493539097,1.1667614377408162,1.115410233094106,1.2365879933431094,1.1226240334305695,0.9750836717582315,0.9464309294627444,1.0030592177405737,0.9827781701370389,0.9844616167258251,0.9959261089556023,1.0161397353800719,0.9747533417216772
power,1.1490934191781135,1.290800092275998,1.5031487711687503,1.779664263871438,1.1974795218024776,1.3573358700815943,1.2305630512421968,1.6399462922162242,1.3545653929733341,1.3461281936015876,1.2078007979690937,1.2383157266801132,1.436608901405823
traffic,0.2793640150244931,0.2514161604037146,0.32599657895844625,0.24526609856030754,0.38872006007098747,0.2610937200561606,0.26205452654112754,0.30292428233082147,0.2606806146076186,0.26224645190245044,0.2382276494298324,0.2484898468061119,0.23541690894501213
