,ChronosBolt_domainDatasetL2_256_16_base,ChronosBolt_domainDatasetL2_256_16_incremental,ChronosBolt_domainDatasetL2_256_16_raef,ChronosBolt_domainDatasetL2_256_16_raf,ChronosT5_domainDatasetL2_256_16_base,ChronosT5_domainDatasetL2_256_16_incremental,ChronosT5_domainDatasetL2_256_16_raef,ChronosT5_domainDatasetL2_256_16_raf,MoiraiMoE_domainDatasetL2_256_16_base,MoiraiMoE_domainDatasetL2_256_16_fineTuning,MoiraiMoE_domainDatasetL2_256_16_incremental,MoiraiMoE_domainDatasetL2_256_16_raef,MoiraiMoE_domainDatasetL2_256_16_raf
ET,0.7007289712516517,0.7048457463970675,0.7419086541453095,0.7152500739410667,0.7283741948090742,0.780937752810386,0.7046072749447886,0.7229587838067134,0.8010898424348477,0.7926401178961955,0.795978013994842,0.7747819647936557,0.8025066319204774
covid19Deaths,,,,,,,,,,,,,
electricityUCI,0.8194823737309873,0.8784223521223177,1.1854237297568142,0.9697609240626757,0.7955944203634979,1.1599570136123472,1.1479526380144107,0.8491680920893341,1.8634288486167454,,1.792731774049333,1.4912801277107728,1.8522462313040364
fredMd,1.027688507740259,0.9929244127170969,1.0084111660888557,0.9570309580384335,1.0615408582918873,1.0158184397279695,0.8314891045781414,1.0005827625691632,1.024277588155772,,0.9935958221875105,0.9075016406645096,1.0246312304021716
huaweiCloud,1.3136831277469736,1.298556030275701,1.3606255739822974,1.312911044369283,1.0511471510505517,0.8706522319581647,0.6373263402656029,0.9301810585808505,1.0595195994642101,1.0149821463057975,0.9740605569905725,0.8960798939641803,1.0658110115560329
nn5,0.837837350445794,0.9305134372476279,0.9461323753028923,0.9226234527968898,0.8492587134890145,0.8717130638764335,0.7938475858127613,0.858035622566169,0.847629949808707,,0.8517481680675578,0.8855154078167039,0.8459118359065675
power,0.6417969048246664,0.6686505172110121,0.6708683200721435,0.6747109725098326,0.6442861007067756,0.8101915647793018,0.7089957538861285,0.6601147919019134,0.7497940316969949,,0.7625973055679498,0.7569966337871686,0.7475399971408968
traffic,0.15896137115851464,0.15819657222739597,0.16129330260456676,0.15127986501431037,0.1853895168700361,0.17383859141003918,0.18382761858522714,0.17980570524909406,0.14608971572037635,,0.14390177641245094,0.1439739553966489,0.14547832362275254
