,MoiraiMoE_domainDatasetCosine_32_16_base,MoiraiMoE_domainDatasetCosine_32_16_fineTuning,MoiraiMoE_domainDatasetCosine_32_16_incremental,MoiraiMoE_domainDatasetCosine_32_16_raef,MoiraiMoE_domainDatasetCosine_32_16_raf,MoiraiMoE_domainDatasetEmbL2_32_16_base,MoiraiMoE_domainDatasetEmbL2_32_16_fineTuning,MoiraiMoE_domainDatasetEmbL2_32_16_incremental,MoiraiMoE_domainDatasetEmbL2_32_16_raef,MoiraiMoE_domainDatasetEmbL2_32_16_raf,MoiraiMoE_domainDatasetL2_32_16_base,MoiraiMoE_domainDatasetL2_32_16_fineTuning,MoiraiMoE_domainDatasetL2_32_16_incremental,MoiraiMoE_domainDatasetL2_32_16_raef,MoiraiMoE_domainDatasetL2_32_16_raf
ET,1.0420486581607717,1.0041711782276728,1.072323589512842,1.0218548428580503,0.9697549400092221,1.0419709711784217,1.004300946730242,1.076766099808857,1.024939044848199,0.9693183320646503,1.0420524835839677,1.0042726166740803,0.9367220752688332,0.8940536017129139,0.9668060409749818
covid19Deaths,1.1704684521494486,1.188454479909543,1.0459667649323983,1.1630605127625344,0.9391653559193227,1.1728124523092538,1.180923339798643,1.0795059413831043,1.2059338657023562,0.9429621043217581,1.16950223835963,1.175727953600265,1.0960087263853966,1.1303832849410558,0.948775935413176
electricityUCI,2.9940009209504117,2.8891752008009854,2.8519117901259645,2.882534501552395,2.9178227625839517,3.0054196351417004,2.8836156052653434,2.8834237341415347,2.894401429507266,2.9865635172086002,3.006803147786368,2.882136370663648,2.7798344312097454,2.626615138144455,2.944028793248571
fredMd,0.853592618840722,0.8461621146731358,0.9011873118595332,0.8954650568970144,0.8791310555131682,0.8550511227042132,0.842745628976849,0.9027898693535077,0.8852941570228944,0.869353292467604,0.858971216784124,0.8434377443935138,0.8441957856957942,0.7274220792692173,0.8320628682479608
huaweiCloud,1.199079867262321,1.124457625462673,1.1124615664582662,1.0661291002216822,1.1314466616486745,1.1971316106714347,1.1279888667723015,1.1189567323142486,1.101950493392812,1.1287459000554712,1.1983798968387867,1.1271859794440025,1.053962352052684,0.954604610298573,1.0919561807362859
nn5,0.9234654384272448,0.9244970979847571,0.9646784757991907,1.0109944078753212,0.9312928755221499,0.9241652353651971,0.9244450650552005,0.9664992529200664,1.0128336787589887,0.9304364268731268,0.9250398664632313,0.9249600182988821,0.9425630065883377,0.958228694725895,0.9267459276441162
power,1.1925642770937421,1.1848544999622765,1.359657003490378,1.1462432538040492,1.0090304202501854,1.1943485122255297,1.1844088066335232,1.3585068112508207,1.1508952600636055,1.009850256753423,1.1920643181307542,1.1830413310388634,0.949816253794811,0.926578506419855,1.0268169085985113
traffic,0.16173732742173447,0.1627378828001365,0.15634842098725457,0.152161103835007,0.1554170557915789,0.16178932708258176,0.16270294024989443,0.15654296066398912,0.1527550668199979,0.15587177944392566,0.16170112618915977,0.1627138860761246,0.1557596671472046,0.16088177240405957,0.15429925976273556
