,ChronosBolt_domainDatasetL2_64_16_base,ChronosBolt_domainDatasetL2_64_16_incremental,ChronosBolt_domainDatasetL2_64_16_raef,ChronosBolt_domainDatasetL2_64_16_raf,ChronosT5_domainDatasetL2_64_16_base,ChronosT5_domainDatasetL2_64_16_incremental,ChronosT5_domainDatasetL2_64_16_raef,ChronosT5_domainDatasetL2_64_16_raf,MoiraiMoE_domainDatasetL2_64_16_base,MoiraiMoE_domainDatasetL2_64_16_fineTuning,MoiraiMoE_domainDatasetL2_64_16_incremental,MoiraiMoE_domainDatasetL2_64_16_raef,MoiraiMoE_domainDatasetL2_64_16_raf
ET,0.8777803512950624,0.8743503459853822,0.8456793281735366,0.9109457219966071,0.8981708190271708,0.9288932241464294,0.8563170275945844,0.9185460746543056,0.9368680469500865,0.9070969239986222,0.8872906798257667,0.8537533707757592,0.9422091823958013
covid19Deaths,0.8456800895462522,1.0531684467606826,1.8106573608030856,0.9130366818951986,0.810359843956087,1.355612070992496,4.556225325145702,0.9140898008441557,0.704983670160401,0.7029380853640115,0.735265063005519,0.7111917410911233,0.6795399079101431
electricityUCI,1.8822453100841463,2.229612931839299,2.3126407651178473,2.332999690698732,1.9044880800897048,2.329249929588807,2.2319231980338357,2.2043251938220862,2.6441662350913075,2.3883631989116445,2.3829204562812296,2.045887734705438,2.5436026133318164
fredMd,0.6906726131229408,0.6805858269319616,0.5863249704257263,0.6883433106780416,0.7467995241575552,0.6494265895417946,0.31136228176348657,0.6639545400905148,0.7455915441814625,0.7109656606339904,0.7167429840137965,0.6109678694905585,0.71614655147851
huaweiCloud,1.2317156861074898,1.1702811481204607,1.1862981818122196,1.205895090630858,0.8823146236449032,0.8879429983160583,0.7415927436796296,0.9030199424302853,0.9993046814369634,1.0293246780660643,0.9277638245813289,0.8593312685441706,0.9752200660641541
nn5,0.8960431105259351,0.9768684923193496,0.9552913361429435,1.0976126137662048,0.9069801615285417,0.8892022740172609,0.8534096377428044,0.9299702043713692,0.8396280227466637,0.8390740032026323,0.8480005062497976,0.8535694729916248,0.8542770597485291
power,0.886240117603473,1.0028701094123047,1.0008498897316902,1.1168168259737226,0.8776318781961816,1.008741358682534,0.8369934410957827,0.9918689103740084,0.9677989130153574,0.9669337093743452,0.9528965574746703,0.973227355681046,0.9957144872712008
traffic,0.158970113351666,0.15272185986095044,0.16197463925443117,0.15655715957914398,0.19129223327193626,0.1684891265189866,0.1722893524945076,0.18115517156707198,0.15156304548494662,0.15229039602403296,0.14766061454478457,0.15506397437351693,0.14813577266256364
