,ChronosBolt_domainDatasetL2_32_16_base,ChronosBolt_domainDatasetL2_32_16_incremental,ChronosBolt_domainDatasetL2_32_16_raef,ChronosBolt_domainDatasetL2_32_16_raf,ChronosT5_domainDatasetL2_32_16_base,ChronosT5_domainDatasetL2_32_16_incremental,ChronosT5_domainDatasetL2_32_16_raef,ChronosT5_domainDatasetL2_32_16_raf,MoiraiMoE_domainDatasetL2_32_16_base,MoiraiMoE_domainDatasetL2_32_16_fineTuning,MoiraiMoE_domainDatasetL2_32_16_incremental,MoiraiMoE_domainDatasetL2_32_16_raef,MoiraiMoE_domainDatasetL2_32_16_raf
ET,0.9345972125156075,0.8964387865985275,0.9058001152607882,0.949633383649367,0.9838083360166764,0.9377829953644772,0.8930705843437705,0.962288487665751,1.0433124889074645,1.0042806301068286,0.936538332829118,0.8939125948109676,0.9671664717703082
covid19Deaths,1.7266054943785338,1.9522054421227768,1.331111734640106,1.0197052818530308,1.4994389495266485,1.5135759697767421,1.641570661061159,1.0756306888673277,1.171383417395155,1.1760783126917724,1.0982701646623387,1.1391764409593865,0.9390602417095811
electricityUCI,3.4049436394709613,2.8000129836393373,2.798237776356551,3.2186542515621497,2.9243922345237516,2.706852893770278,2.5945011785816696,2.823174978249016,3.001132174902384,2.872541806500962,2.772140526190128,2.6276127882673577,2.9385680778033536
fredMd,0.8568342142199863,0.876196934697956,0.6335813122608177,0.8024347501943959,0.9316463728633365,0.8312379707051867,0.3926415595563585,0.7508111542765593,0.8553223241958225,0.8430153645572954,0.8452615191881181,0.7277518484731457,0.8302935698304249
huaweiCloud,1.3509267749671123,1.243438559607653,1.0853018072147982,1.2763124448382257,1.099278361456903,0.9757182201004589,0.7932619733855767,1.0176768191386227,1.1996069250992398,1.1274599541540844,1.049434856439586,0.9559405741603612,1.0925917517137118
nn5,1.0760259559187355,1.1246543232585864,1.0926414587548778,1.1703752051707756,1.0585939301379343,0.9264345951511787,0.8687422601489768,0.9740477994522929,0.9243246053022074,0.9240576614904082,0.9419115135780363,0.9586038649946113,0.9264217968179546
power,0.9359770502667736,0.9051482545342409,0.8877864078702873,0.9258528256139618,0.9649983814177902,0.9934570516738582,0.8613723123780567,0.8918663884228134,1.1940716756566379,1.1824062557557302,0.9505768332574951,0.9266906717182908,1.0260161550048381
traffic,0.1761109377895975,0.1584338555884333,0.1584779240197335,0.16343912090856175,0.25076888039049483,0.16649602662984886,0.16556669847308372,0.1951202687780767,0.16173196355066266,0.16267586665152872,0.15580788077748303,0.16099389833886427,0.15439642170443238
