,ChronosBolt_domainDatasetL2_512_16_base,ChronosBolt_domainDatasetL2_512_16_incremental,ChronosBolt_domainDatasetL2_512_16_raef,ChronosBolt_domainDatasetL2_512_16_raf,ChronosT5_domainDatasetL2_512_16_base,ChronosT5_domainDatasetL2_512_16_incremental,ChronosT5_domainDatasetL2_512_16_raef,ChronosT5_domainDatasetL2_512_16_raf,MoiraiMoE_domainDatasetL2_512_16_base,MoiraiMoE_domainDatasetL2_512_16_incremental,MoiraiMoE_domainDatasetL2_512_16_raef,MoiraiMoE_domainDatasetL2_512_16_raf
ET,0.6560047251747478,0.6615687950733955,0.6651850482042585,0.6669880440201167,0.6783527102071686,0.7146110822376044,0.7133230581465857,0.6780528545447655,0.757052656821548,0.7519706771955583,0.7478017490714812,0.7611100021854477
covid19Deaths,,,,,,,,,,,,
electricityUCI,0.8800728583300679,1.0859765509615371,1.118597480433797,0.9891569318531434,0.8713433865106386,1.084891026292813,1.09692878940499,0.8731673035533136,1.7939175451041978,1.8182383170908156,1.614559620398943,1.8545134060108948
fredMd,1.4930283680841034,1.476107731066927,1.3561399118475381,1.3710408841033501,1.3922132333805073,1.4623789552347146,1.4326478046853344,1.4238650779567523,1.5097368597426146,1.4619502100601343,1.3376386143644592,1.5335680565862724
huaweiCloud,0.9552811374890856,1.0100260648831763,0.9750273942679807,1.0144256062192907,0.7914635395430317,0.7433318106847009,0.7448248294360059,0.7927731192698817,0.8603216160784123,0.853922179234501,0.8819055594675261,0.868611866200727
nn5,0.8029017154895677,0.8311380178478485,0.8086931391511963,0.8175300273140284,0.8583188247771512,0.8362127177583025,0.8370525856809512,0.8569694562891403,0.8590363744076874,0.8720337958477709,0.9737776757536982,0.8567475237575155
power,0.6027982936244056,0.6293875516713983,0.6320062219884929,0.6244207405726357,0.610958011489408,0.7503728137817197,0.7469659773838201,0.6136900363809878,0.6742656243656866,0.6690551968089249,0.7084360929498582,0.6726131519331983
traffic,0.15218341530962265,0.15074701875677154,0.1600692363371756,0.15600839670407163,0.17815107053937532,0.18198389463809955,0.18158900453808988,0.178057119210397,0.14018805339377383,0.13834939078632877,0.14324525295758514,0.14023912821800008
