,ChronosBolt_domainDatasetL2_64_32_base,ChronosBolt_domainDatasetL2_64_32_incremental,ChronosBolt_domainDatasetL2_64_32_raef,ChronosBolt_domainDatasetL2_64_32_raf,ChronosT5_domainDatasetL2_64_32_base,ChronosT5_domainDatasetL2_64_32_incremental,ChronosT5_domainDatasetL2_64_32_raef,ChronosT5_domainDatasetL2_64_32_raf,MoiraiMoE_domainDatasetL2_64_32_base,MoiraiMoE_domainDatasetL2_64_32_fineTuning,MoiraiMoE_domainDatasetL2_64_32_incremental,MoiraiMoE_domainDatasetL2_64_32_raef,MoiraiMoE_domainDatasetL2_64_32_raf
ET,1.0877795325019641,0.9555835005690847,0.9355913585364789,0.9918762181243236,1.1232505120789453,1.043730442035241,0.9535151785371683,1.0291795930327956,1.169999844756015,1.1284732263356778,1.0890088296946414,0.9873656068693344,1.1143122910395893
covid19Deaths,2.427934667351263,2.091160726123241,1.084950983592359,1.7666703825505938,2.352464497944707,2.194286516647352,1.5071767365349886,2.5766082068923852,1.632890721872094,1.6325896299827314,1.6576917162568237,1.345272702133766,1.6012030149805672
electricityUCI,2.300910952375342,2.5458327691459557,1.968870809127086,1.9759897854133974,2.609634284757757,3.499699224703548,3.2748501757237762,1.9982081981374373,4.49991152209677,3.659320977037048,3.967312475306436,2.4840570391363013,4.021689418228967
fredMd,1.025723154113992,0.9710626175943434,0.5899883089985708,0.9149035153171285,1.1595148617400017,0.9851465043279064,0.2462966079458603,0.8654199888257397,1.1120931661104552,1.0343925606413487,1.0347693728961351,0.8843174165441197,0.9725185107088599
huaweiCloud,1.8294485210600135,1.4633204186715556,1.3123000932629534,1.567999185938834,1.4511058188210852,1.307909738125325,0.8615668834209697,1.3613415884776265,1.597590889357325,1.575611360734804,1.382344293585963,1.174440773900512,1.52726436052039
nn5,0.9876690439238824,1.0686964966148877,0.9646629219976541,1.1183053757439672,0.9282868965991089,0.8859962928610697,0.8664328110585684,0.9605190600441711,0.8643806461994791,0.8642598687209915,0.8702891030848674,0.9158863299305767,0.8948091632432397
power,1.1068495360803126,1.077873984167653,1.0534406196156088,1.0957046164682838,1.107049756383245,1.14153699714118,0.9838773930680059,1.0840122667596614,1.208329720325417,1.2054228749243336,1.1503243580456657,1.1331799013942814,1.1511447539865782
traffic,0.2584664675739152,0.24363064184288524,0.2241511347935855,0.2455715916095734,0.308820554570677,0.2567435542526789,0.24916262968095187,0.29418021645755943,0.2464144695420111,0.24782968663211818,0.23018435540363422,0.23865875744681225,0.23328469208742986
