,ChronosBolt_domainDatasetL2_128_32_base,ChronosBolt_domainDatasetL2_128_32_incremental,ChronosBolt_domainDatasetL2_128_32_raef,ChronosBolt_domainDatasetL2_128_32_raf,ChronosT5_domainDatasetL2_128_32_base,ChronosT5_domainDatasetL2_128_32_incremental,ChronosT5_domainDatasetL2_128_32_raef,ChronosT5_domainDatasetL2_128_32_raf,MoiraiMoE_domainDatasetL2_128_32_base,MoiraiMoE_domainDatasetL2_128_32_fineTuning,MoiraiMoE_domainDatasetL2_128_32_incremental,MoiraiMoE_domainDatasetL2_128_32_raef,MoiraiMoE_domainDatasetL2_128_32_raf
ET,0.9295465060136372,0.9697089868349038,0.96025390007463,1.0400316983840996,0.9713911223479986,1.0080368551809469,0.9334339081912003,1.015588035842753,1.118394780179445,1.0914572324005865,1.0973579642021016,1.0118750396999259,1.125025786205449
covid19Deaths,2.351124469736943,2.477117861331334,2.064293045776335,2.5924204205766928,2.0772779824454544,3.0967480018468034,1.9530825269914078,1.320986456056474,1.1214035494748629,1.145856999416432,1.181912455803841,1.1370509015348262,1.127641357455833
electricityUCI,1.1629703151536035,2.004592343518356,2.7958944952236173,2.304382165866792,1.183847455796261,3.177322381756768,2.692703168328404,1.9679891554492028,3.8656414006346065,3.491514289354708,3.753590572618026,2.690695600631566,3.9855621402912393
fredMd,1.240673308624514,1.156662646796307,1.0318586172822146,1.199095424466723,1.2645791379702718,1.2178554779265707,0.3975137556912913,1.117252447640662,1.2186263179126091,1.194996703659505,1.177917269420058,1.0648470404793544,1.222596470090966
huaweiCloud,1.858147611399307,1.5507292078866266,1.527419904691814,1.6114980197238693,1.53218883024566,1.2316232733181434,0.818004937589564,1.3954078704343322,1.5697726705825659,1.4268191526699312,1.3643236516453383,1.3221546700079239,1.4973912210920886
nn5,0.8199899160499081,0.8782798700809649,1.0897424754148044,0.8870843641991155,0.8335606065544192,0.8415372416234546,0.7787536055503053,0.8649335023630227,0.8273581723513839,0.8275736907580916,0.8356908922732011,0.8401845506033471,0.8439369723359479
power,0.990466851796017,0.9880504562348509,1.0219094160285127,1.0105629319513512,1.0293991484149356,1.177012198113736,0.9619712315129889,1.0516305537739952,1.1242589251788448,1.1192517417670884,1.1435055110902135,1.1949307869420847,1.1592085828171166
traffic,0.2540863025734739,0.24193387084299328,0.2481228169915587,0.2434249633175873,0.3031002911114372,0.2695188596677064,0.2639073417562089,0.2979970043925633,0.23920139664813928,0.24008294121303475,0.2314482098506507,0.2362785514243218,0.23552849220281463
